city,temperature,carbon_intensity,date_time
Paris,5.98,68.0,2025-02-13 13:17:31
Paris,5.98,68.0,2025-02-13 13:17:31
Paris,5.98,68.0,2025-02-13 13:22:28
Paris,5.98,68.0,2025-02-13 13:22:28
Paris,5.98,68.0,2025-02-13 13:22:28
Paris,5.98,68.0,2025-02-13 13:22:28
Paris,5.98,68.0,2025-02-13 13:17:31
Paris,5.98,68.0,2025-02-13 13:17:31
Algiers,15.46,68.0,2025-02-13 13:27:51
Paris,5.98,68.0,2025-02-13 13:17:31
Arrondissement de Marseille,13.62,68.0,2025-02-13 13:19:01
Algiers,15.46,68.0,2025-02-13 13:27:51
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:27:47
New York,2.71,68.0,2025-02-13 13:25:10
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:27:47
Paris,5.98,68.0,2025-02-13 13:22:37
Paris,5.98,68.0,2025-02-13 13:22:37
Paris,5.98,68.0,2025-02-13 13:22:37
Paris,5.98,68.0,2025-02-13 13:22:37
Paris,5.98,68.0,2025-02-13 13:22:37
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,6.0,68.0,2025-02-13 13:34:02
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:43:15
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:35
Paris,5.97,68.0,2025-02-13 13:48:27
Paris,5.97,68.0,2025-02-13 13:48:27
Paris,5.97,68.0,2025-02-13 13:48:27
Paris,5.97,68.0,2025-02-13 13:48:27
Paris,5.97,68.0,2025-02-13 13:48:27
Paris,5.97,68.0,2025-02-13 13:48:27
Paris,5.92,68.0,2025-02-13 13:59:35
Paris,5.92,68.0,2025-02-13 13:59:35
Paris,5.92,68.0,2025-02-13 13:59:35
Paris,5.92,68.0,2025-02-13 13:59:35
Paris,5.92,68.0,2025-02-13 13:53:27
Paris,5.92,68.0,2025-02-13 13:53:27
Paris,5.92,68.0,2025-02-13 13:53:27
Paris,5.92,68.0,2025-02-13 13:53:27
